Initial.Name,bill,vote,District,Party
W. Westerfield,HB46,YEA,S3,Republican
C. Embry Jr.,HB46,YEA,S6,Republican
C. McDaniel,HB46,YEA,S23,Republican
D. Seum,HB46,YEA,S38,Republican
M. Wilson,HB46,YEA,S32,Republican
R. Girdler,HB46,YEA,S15,Republican
M. McGarvey,HB46,YEA,S19,Democratic
B. Smith,HB46,YEA,S30,Republican
M. Wise,HB46,YEA,S16,Republican
D. Givens,HB46,YEA,S9,Republican
S. Meredith,HB46,YEA,S5,Republican
R. Alvarado,HB64,YEA,S28,Republican
D. Harper Angel,HB64,YEA,S35,Democratic
G. Neal,HB64,YEA,S33,Democratic
R. Stivers II,HB64,YEA,S25,Republican
J. Bowen,HB64,YEA,S8,Republican
E. Harris,HB64,YEA,S26,Republican
D. Parrett,HB64,YEA,S10,Democratic
D. Thayer,HB64,YEA,S17,Republican
T. Buford,HB64,YEA,S22,Republican
J. Higdon,HB64,YEA,S14,Republican
J. Adams,HB64,YEA,S36,Republican
R. Thomas,HB64,YEA,S13,Democratic
J. Carpenter,HB64,YEA,S34,Republican
P. Hornback,HB64,YEA,S20,Republican
D. Ridley,HB64,YEA,S4,Democratic
J. Turner,HB64,YEA,S29,Democratic
D. Carroll,HB64,YEA,S2,Republican
S. Humphries,HB64,YEA,S1,Republican
A. Robinson,HB64,YEA,S21,Republican
R. Webb,HB64,YEA,S18,Democratic
J. Carroll,HB64,YEA,S7,Democratic
R. Jones II,HB64,YEA,S31,Democratic
J. Schickel,HB64,YEA,S11,Republican
S. West,HB64,YEA,S27,Republican
P. Clark,HB64,YEA,S37,Democratic
A. Kerr,HB64,YEA,S12,Republican
W. Schroder,HB64,YEA,S24,Republican
W. Westerfield,HB64,YEA,S3,Republican
C. Embry Jr.,HB64,YEA,S6,Republican
C. McDaniel,HB64,YEA,S23,Republican
D. Seum,HB64,YEA,S38,Republican
M. Wilson,HB64,YEA,S32,Republican
R. Girdler,HB64,YEA,S15,Republican
M. McGarvey,HB64,YEA,S19,Democratic
B. Smith,HB64,YEA,S30,Republican
M. Wise,HB64,YEA,S16,Republican
D. Givens,HB64,YEA,S9,Republican
S. Meredith,HB64,YEA,S5,Republican
R. Alvarado,HB68,YEA,S28,Republican
D. Harper Angel,HB68,YEA,S35,Democratic
G. Neal,HB68,YEA,S33,Democratic
R. Stivers II,HB68,YEA,S25,Republican
J. Bowen,HB68,YEA,S8,Republican
E. Harris,HB68,YEA,S26,Republican
D. Parrett,HB68,YEA,S10,Democratic
D. Thayer,HB68,YEA,S17,Republican
T. Buford,HB68,YEA,S22,Republican
J. Higdon,HB68,YEA,S14,Republican
J. Adams,HB68,YEA,S36,Republican
R. Thomas,HB68,YEA,S13,Democratic
J. Carpenter,HB68,YEA,S34,Republican
P. Hornback,HB68,YEA,S20,Republican
D. Ridley,HB68,YEA,S4,Democratic
J. Turner,HB68,YEA,S29,Democratic
D. Carroll,HB68,YEA,S2,Republican
S. Humphries,HB68,YEA,S1,Republican
A. Robinson,HB68,YEA,S21,Republican
R. Webb,HB68,YEA,S18,Democratic
J. Carroll,HB68,YEA,S7,Democratic
R. Jones II,HB68,YEA,S31,Democratic
J. Schickel,HB68,YEA,S11,Republican
S. West,HB68,YEA,S27,Republican
P. Clark,HB68,YEA,S37,Democratic
A. Kerr,HB68,YEA,S12,Republican
W. Schroder,HB68,YEA,S24,Republican
W. Westerfield,HB68,YEA,S3,Republican
C. Embry Jr.,HB68,YEA,S6,Republican
C. McDaniel,HB68,YEA,S23,Republican
D. Seum,HB68,YEA,S38,Republican
M. Wilson,HB68,YEA,S32,Republican
R. Girdler,HB68,YEA,S15,Republican
M. McGarvey,HB68,YEA,S19,Democratic
B. Smith,HB68,YEA,S30,Republican
M. Wise,HB68,YEA,S16,Republican
D. Givens,HB68,YEA,S9,Republican
S. Meredith,HB68,YEA,S5,Republican
R. Alvarado,HB69,YEA,S28,Republican
D. Harper Angel,HB69,YEA,S35,Democratic
S. Meredith,HB69,YEA,S5,Republican
R. Stivers II,HB69,YEA,S25,Republican
J. Bowen,HB69,YEA,S8,Republican
E. Harris,HB69,YEA,S26,Republican
D. Parrett,HB69,YEA,S10,Democratic
D. Thayer,HB69,YEA,S17,Republican
T. Buford,HB69,YEA,S22,Republican
J. Higdon,HB69,YEA,S14,Republican
J. Adams,HB69,YEA,S36,Republican
R. Thomas,HB69,YEA,S13,Democratic
J. Carpenter,HB69,YEA,S34,Republican
P. Hornback,HB69,YEA,S20,Republican
D. Ridley,HB69,YEA,S4,Democratic
J. Turner,HB69,YEA,S29,Democratic
D. Carroll,HB69,YEA,S2,Republican
S. Humphries,HB69,YEA,S1,Republican
A. Robinson,HB69,YEA,S21,Republican
R. Webb,HB69,YEA,S18,Democratic
J. Carroll,HB69,YEA,S7,Democratic
R. Jones II,HB69,YEA,S31,Democratic
J. Schickel,HB69,YEA,S11,Republican
S. West,HB69,YEA,S27,Republican
P. Clark,HB69,YEA,S37,Democratic
A. Kerr,HB69,YEA,S12,Republican
W. Schroder,HB69,YEA,S24,Republican
